batch_id,product_name,mfg_date,exp_date,qty_on_hand,mrp_unit_price,unit_cost
BATCH_00001,OrthoRelief_360,2023-12-15,2024-09-17,41,48681.07,34697.31
BATCH_00002,RenalGuard_98,2022-08-07,2025-03-01,137,11330.17,6253.51
BATCH_00003,NeuroVita_763,2024-07-02,2025-04-16,247,53829.42,32670.32
BATCH_00004,OncoThera_260,2022-10-25,2023-12-18,361,18404.31,16002.76
BATCH_00005,RespiraAid_565,2022-03-26,2022-10-17,175,14772.48,9302.63
BATCH_00006,HepatoCare_884,2022-08-23,2024-03-03,142,26749.77,17791.61
BATCH_00007,ImmunoPlus_986,2023-10-06,2026-06-21,237,49113.21,31342.64
BATCH_00008,RenalGuard_671,2023-06-11,2024-05-07,33,19193.57,13518.88
BATCH_00009,ImmunoPlus_776,2024-01-09,2026-02-09,241,46591.56,28126.13
BATCH_00010,ImmunoPlus_730,2023-02-01,2025-04-30,1013,71882.74,46531.73
BATCH_00011,NeuroVita_301,2022-03-10,2024-01-09,730,15114.98,10296.95
BATCH_00012,GlucoBalance_767,2022-04-03,2024-03-09,58,33154.92,24826.91
BATCH_00013,RespiraAid_88,2023-03-09,2025-10-08,38,14478.25,11466.9
BATCH_00014,HepatoCare_850,2024-08-07,2027-08-05,21,58177.92,42278.7
BATCH_00015,CardioMax_143,2023-04-25,2026-02-19,240,41943.37,35301.55
BATCH_00016,HepatoCare_45,2022-12-10,2024-06-21,34,21770.9,13024.69
BATCH_00017,GlucoBalance_913,2023-02-06,2025-12-17,229,58073,40504.35
BATCH_00018,RespiraAid_876,2024-06-28,2025-10-24,171,51161.05,40900.28
BATCH_00019,OrthoRelief_915,2024-04-19,2025-09-10,154,48421.05,34064.9
BATCH_00020,NeuroVita_385,2024-06-09,2027-01-18,63,11979.94,7680.84
BATCH_00021,OrthoRelief_493,2023-09-21,2026-07-20,94,46971.86,31547.97
BATCH_00022,DermaLux_143,2024-07-16,2025-08-28,231,16478.59,13944.31
BATCH_00023,GlucoBalance_903,2022-01-27,2024-02-07,682,67362.58,49441.03
BATCH_00024,NeuroVita_125,2022-12-02,2024-10-01,250,38737.78,31685.64
BATCH_00025,HepatoCare_499,2024-05-10,2026-05-31,95,12569.49,7979.94
BATCH_00026,RespiraAid_792,2023-01-06,2025-12-19,67,49121.43,40738.44
BATCH_00027,NeuroVita_526,2024-07-02,2025-03-09,223,6897.73,4753.97
BATCH_00028,NeuroVita_791,2024-04-26,2026-07-09,89,68327.23,41221.47
BATCH_00029,OncoThera_934,2022-02-01,2023-07-01,536,52069.94,40208.05
BATCH_00030,RespiraAid_561,2024-08-07,2026-07-27,25,4998.68,3103.06
BATCH_00031,CardioMax_176,2023-03-12,2024-12-10,920,37291.25,24217.5
BATCH_00032,CardioMax_513,2023-08-21,2024-09-23,187,60056,46726.08
